,E.C,TDS,Cl,NO3 ,Na,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L
109,1285,822.4,70,28.98981818,200.0,24.0,43.758,239.9259868,5.613885037,3,3.601480263
110,612,391.68,40,53.34931818,74.0,24.0,24.31,159.9588816,2.543898061,2,0.000822368
111,702,449.28,40,54.55722727,84.0,48.0,14.586,179.9753289,2.722356283,2,1.000493421
112,549,351.36,30,25.36609091,51.0,24.0,29.172,179.9506579,1.652972471,2,0.400986842
113,679,434.56,40,21.74236364,68.0,24.0,34.034,199.9424342,2.0908775,2,0.801151316
114,674,431.36,30,16.30677273,55.0,32.0,43.758,239.9259868,1.543818385,2,1.001480263
115,1846,1181.44,260,82.54045455,249.0,56.0,58.344,379.9013158,5.554386698,3,-1.998026316
116,1296,829.44,30,6.844818182,141.0,40.0,68.068,379.8848684,3.145323206,3,3.802302632
117,1135,726.4,70,64.42181818,92.0,40.0,63.206,359.8930921,2.108498207,3,-1.197861842
118,1212,775.68,90,68.44818182,59.0,56.0,82.654,479.8601974,1.171026738,3,-3.797203947
119,1096,701.44,50,70.46136364,103.0,16.0,68.068,319.8848684,2.503874402,3,-1.797697368
120,1896,1213.44,260,82.54045455,306.0,32.0,43.758,259.9259868,8.252180899,3,1.001480263
121,212,135.68,20,22.54763636,22.0,8.0,9.724,59.98355263,1.235033542,1,-0.599671053
122,1774,1135.36,260,102.6722727,166.0,64.0,87.516,519.8519737,3.165486046,3,-4.797039474
123,398,254.72,50,1.99305,35.93565348,40.0,4.862,119.9917763,1.426336413,2,-0.151817865
124,637,407.68,50,1.10725,63.72342624,32.0,24.31,179.9588816,2.065307109,2,1.070892411
125,711,455.04,100,7.0864,71.00984334,48.0,19.448,199.9671053,2.183290066,2,-0.269806782
126,517,330.88,40,1.99305,53.76548932,40.0,9.724,139.9835526,1.975773977,2,0.866787839
127,1941,1242.24,250,14.6157,274.7317129,48.0,63.206,379.8930921,6.128444532,3,3.2904598
128,1546,989.44,270,188.2325,99.51565681,80.0,87.516,559.8519737,1.82863476,3,-7.270733624
129,1669,1068.16,350,133.7558,64.66671084,120.0,97.24,699.8355263,1.062808314,3,-10.29269642
130,1473,942.72,280,93.67335,119.9665707,104.0,53.482,479.9095395,2.380963386,3,-4.943259503
131,1211,775.04,190,39.861,156.5653097,48.0,34.034,259.9424342,4.222105826,3,0.497377478
132,1856,1187.84,350,108.0676,174.6639509,64.0,87.516,519.8519737,3.330700599,3,-4.156606318
133,1974,1263.36,350,107.6247,263.9425723,56.0,68.068,419.8848684,5.600367115,3,-1.065254689
134,1667,1066.88,330,188.2325,119.4802649,56.0,106.964,579.8190789,2.157357356,3,-7.87255644
135,758,485.12,70,21.33972727,52.0,32.0,43.758,259.9259868,1.402331395,3,-0.798519737
136,678,433.92,80,12.28040909,84.0,40.0,24.31,199.9588816,2.582742449,2,0.400822368
137,2783,1781.12,540,3.019772727,576.0,16.0,43.758,219.9259868,16.88715045,0,3.001480263
138,1255,803.2,170,18.52127273,174.0,48.0,34.034,259.9424342,4.692268135,3,-1.798848684
139,528,337.92,60,43.48472727,40.0,48.0,29.172,239.9506579,1.122719286,2,-1.399013158
140,689,440.96,60,2.818454545,36.0,48.0,34.034,259.9424342,0.970814097,2,-0.798848684
141,802,513.28,30,14.1728,92.85292624,40.0,24.31,199.9588816,2.854942787,3,2.741027251
142,841,538.24,90,20.59485,65.52229149,64.0,29.172,279.9506579,1.702630839,3,-0.434993748
